Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,Christian McCaffrey,SF,RB,16,24.5,9.4
2,Breece Hall,NYJ,RB,17,17.1,10.95
3,Travis Etienne Jr.,JAX,RB,17,16.6,8.27
4,Rachaad White,TB,RB,17,15.8,6.01
5,Raheem Mostert,MIA,RB,15,17.8,10.4
6,Joe Mixon,CIN,RB,17,15.7,6.04
7,Kyren Williams,LAR,RB,12,21.2,8.68
8,Derrick Henry,TEN,RB,17,14.5,7.71
9,Bijan Robinson,ATL,RB,17,14.5,7.61
10,Jahmyr Gibbs,DET,RB,15,16.1,8.37
11,Alvin Kamara,NO,RB,13,17.9,6.97
12,James Cook,BUF,RB,17,13.7,8.07
13,Saquon Barkley,NYG,RB,14,15.9,7.73
14,Tony Pollard,DAL,RB,17,13.1,5.92
15,Isiah Pacheco,KC,RB,14,15.3,7.23
16,Jerome Ford,CLE,RB,17,12.4,6.29
17,David Montgomery,DET,RB,14,14.8,6.6
18,James Conner,ARI,RB,13,15.5,8.11
19,Kenneth Walker III,SEA,RB,15,13.3,7.23
20,D'Andre Swift,PHI,RB,16,12.5,6.54
21,Brian Robinson Jr.,WAS,RB,15,13.2,6.84
22,Jaylen Warren,PIT,RB,17,11.6,4.83
23,Najee Harris,PIT,RB,17,11.5,6.64
24,De'Von Achane,MIA,RB,11,17.3,13.96
25,Gus Edwards,BAL,RB,17,11,7.47
26,Austin Ekeler,LAC,RB,14,13.2,7.45
27,Chuba Hubbard,CAR,RB,17,10.7,4.98
28,Josh Jacobs,LV,RB,13,13.9,6.9
29,Javonte Williams,DEN,RB,16,11.2,5.34
30,Ezekiel Elliott,NE,RB,17,10.3,6.04
31,Zack Moss,IND,RB,14,12.1,8.71
32,Devin Singletary,HOU,RB,17,9.8,6.53
33,Jonathan Taylor,IND,RB,10,15.6,6.38
34,Tyjae Spears,TEN,RB,17,9,5.31
35,Rhamondre Stevenson,NE,RB,12,12.1,6.66
36,Tyler Allgeier,ATL,RB,17,8.1,5.9
37,Aaron Jones,GB,RB,11,12.3,6.87
38,Alexander Mattison,MIN,RB,16,8.3,4.86
39,Antonio Gibson,WAS,RB,16,8,3.75
40,Samaje Perine,DEN,RB,17,7.1,3.55
41,Kareem Hunt,CLE,RB,15,7.9,4.62
42,AJ Dillon,GB,RB,15,7.8,3.48
43,Khalil Herbert,CHI,RB,12,9.4,7.07
44,Justice Hill,BAL,RB,16,6.8,5.37
45,Zach Charbonnet,SEA,RB,16,6.6,4.36
46,Jaleel McLaughlin,DEN,RB,17,6.2,5.35
47,Roschon Johnson,CHI,RB,15,6.8,4.92
48,Ty Chandler,MIN,RB,17,5.9,6.45
49,Kenneth Gainwell,PHI,RB,16,6.1,3
50,Rico Dowdle,DAL,RB,16,5.7,4.79
51,D'Onta Foreman,CHI,RB,9,10.1,9.24
52,Miles Sanders,CAR,RB,16,5.5,4.31
53,Jerick McKinnon,KC,RB,12,7,5.54
54,Latavius Murray,BUF,RB,16,5.2,4.01
55,Dameon Pierce,HOU,RB,14,5.5,4.33
56,Zamir White,LV,RB,17,4.3,6.22
57,Emari Demercado,ARI,RB,14,5.2,5.19
58,Clyde Edwards-Helaire,KC,RB,15,4.7,5.36
59,Keaton Mitchell,BAL,RB,8,8.7,6.2
60,Joshua Kelley,LAC,RB,17,3.6,4.25
61,Jamaal Williams,NO,RB,13,4.7,3.34
62,Michael Carter,ARI,RB,15,3.9,3.71
63,Chase Brown,CIN,RB,12,4.5,5.27
64,Elijah Mitchell,SF,RB,11,4.3,5.19
65,Matt Breida,NYG,RB,17,2.8,3.52
66,Cam Akers,MIN,RB,7,6.7,2.42
67,Royce Freeman,LAR,RB,14,3.3,4.31
68,Jordan Mason,SF,RB,17,2.6,3.97
69,Darrell Henderson Jr.,LAR,RB,4,10.9,3.19
70,Kendre Miller,NO,RB,8,5.4,5.12
71,Salvon Ahmed,MIA,RB,8,5.4,4.56
72,Pierre Strong Jr.,CLE,RB,17,2.5,2.62
73,Jeff Wilson Jr.,MIA,RB,10,4.1,3.06
74,Ameer Abdullah,LV,RB,17,2.4,1.67
75,Dalvin Cook,NYJ,RB,15,2.7,2.22
76,Chase Edmonds,TB,RB,13,3.1,2.86
77,Kyle Juszczyk,SF,FB,17,2.3,3.77
78,Chris Rodriguez Jr.,WAS,RB,13,2.9,5
79,Cordarrelle Patterson,ATL,RB,14,2.6,2.16
80,D'Ernest Johnson,JAX,RB,17,2,2.49
81,Andrew Beck,HOU,FB,15,2.2,3.05
82,Ty Johnson,BUF,RB,10,3.2,4.37
83,Tony Jones Jr.,ARI,RB,7,4.6,5.24
84,Patrick Taylor,GB,RB,11,2.7,2.07
84,Darrynton Evans,MIA,RB,7,4.3,4.15
86,Craig Reynolds,DET,RB,17,1.7,3.36
87,Alec Ingold,MIA,FB,17,1.5,1.75
88,Nick Chubb,CLE,RB,2,11.6,5.15
89,Tank Bigsby,JAX,RB,17,1.3,2.04
90,Kevin Harris,NE,RB,4,5.3,3.38
91,Trey Sermon,IND,RB,14,1.4,2.63
92,Ronnie Rivers,LAR,RB,9,2.2,2.46
93,Melvin Gordon III,BAL,RB,4,4.9,3.06
94,Isaiah Spiller,LAC,RB,9,2.1,1.67
94,Damien Harris,BUF,RB,6,3.2,3
96,Tyler Goodson,IND,RB,6,3,3.41
97,Raheem Blackshear,CAR,RB,12,1.4,1.51
98,Israel Abanikanda,NYJ,RB,7,2.3,2
99,Patrick Ricard,BAL,FB,17,1,2.07
100,Boston Scott,PHI,RB,15,1.1,1.5
101,Deuce Vaughn,DAL,RB,8,1.9,1.84
102,Trayveon Williams,CIN,RB,17,0.9,0.85
103,Emanuel Wilson,GB,RB,7,2.1,1.85
104,Keaontay Ingram,KC,RB,8,1.8,2.33
104,La'Mical Perine,KC,RB,5,2.8,5.55
106,Mike Boone,HOU,RB,9,1.5,1.51
107,Eric Gray,NYG,RB,13,1,1.54
108,Hunter Luepke,DAL,RB,17,0.7,1.65
109,J.K. Dobbins,BAL,RB,1,11.7,0
110,Gary Brightwell,NYG,RB,7,1.7,2.08
111,Nick Bawden,NYJ,FB,16,0.7,1.54
112,Brandon Bolden,LV,RB,17,0.7,2.02
113,Chris Brooks,MIA,RB,9,1.2,2.12
114,Dare Ogunbowale,HOU,RB,12,0.9,1.09
115,DeeJay Dallas,SEA,RB,17,0.6,1.04
115,C.J. Ham,MIN,FB,17,0.6,0.9
117,Damien Williams,ARI,RB,3,2.5,2.16
118,Michael Burton,DEN,FB,17,0.4,0.64
119,Ke'Shawn Vaughn,TB,RB,6,1.1,1.01
120,Keith Smith,ATL,FB,13,0.5,1.07
121,Khari Blasingame,CHI,FB,16,0.4,0.72
122,Sean Tucker,TB,RB,11,0.5,1.26
123,Rashaad Penny,PHI,RB,3,1.6,0.65
124,Alex Armah,WAS,RB,8,0.5,0.74
124,Jashaun Corbin,NYG,RB,6,0.7,1.6
126,Deon Jackson,NYG,RB,4,1,1.62
126,Leonard Fournette,BUF,RB,2,2,0
128,Elijah Dotson,LAC,RB,4,1,1.69
129,Jake Funk,IND,RB,4,0.8,1.39
130,Anthony McFarland Jr.,PIT,RB,3,1,1.46
130,Kenyan Drake,GB,RB,3,1,1.46
130,Zonovan Knight,DET,RB,2,1.6,0.25
133,Derrick Gore,WAS,RB,6,0.4,0.84
134,Adam Prentice,NO,FB,13,0.2,0.64
135,Devine Ozigbo,DET,RB,3,0.8,1.08
136,Jakob Johnson,LV,FB,13,0.2,0.59
137,Chris Evans,CIN,RB,8,0.3,0.69
137,Tyrion Davis-Price,SF,RB,1,2.1,0
139,Zach Evans,LAR,RB,10,0.2,0.33
140,Evan Hull,IND,RB,1,1.7,0
141,Reggie Gilliam,BUF,FB,17,0.1,0.31
141,Kene Nwangwu,MIN,RB,9,0.1,0.28
143,Jonathan Ward,TEN,RB,8,0.1,0.36
144,James Robinson,GB,RB,1,1,0
145,Travis Homer,CHI,RB,16,0,0
145,Dwayne Washington,DEN,RB,13,0,0
145,Godwin Igwebuike,PIT,RB,12,0,0
145,JaMycal Hasty,NE,RB,5,0,0
145,Jason Cabinda,DET,FB,4,0,0
145,Corey Clement,ARI,RB,4,0,0
145,Myles Gaskin,MIN,RB,3,0,0
145,Julius Chestnut,TEN,RB,3,0,0
145,Malik Davis,DAL,RB,3,0,0
145,Kenny McIntosh,SEA,RB,3,0,0
145,Jeremy McNichols,SF,RB,3,0,0
145,Taiwan Jones,NYG,RB,2,0,0
145,Qadree Ollison,PIT,RB,2,0,0
145,Jordan Mims,NO,RB,2,0,0
145,Henry Pearson,GB,FB,2,0,0
145,Deneric Prince,KC,RB,2,0,0
145,Mohamed Ibrahim,DET,RB,1,0,0
145,SaRodorick Thompson Jr.,SEA,RB,1,0,0
145,Owen Wright,BAL,RB,1,0,0
145,Patrick Laird,TB,RB,1,0,0
145,Ben Mason,BAL,FB,1,0,0
145,Xazavian Valladay,NYJ,RB,1,0,0
167,Jonathan Williams,WAS,RB,1,-0.2,0
999,"League Average (8+ Games, 4+ PPG)",NFL,RB,14.18,10.74,6.3
