Rank,PlayerID,Name,Team,Position,Played,FG,0-39,PointsFrom039,039_PCT_TOTAL,40-49,PointsFrom4049,4049_PCT_TOTAL,50+,PointsFrom5059,5059_PCT_TOTAL,XPT,PointsFromXP,XP_PCT_TOTAL,FPTS,FPTS/G
1,24902,Brandon Aubrey,DAL,K,17,36.00,22.00,66.00,0.36,4.00,16.00,0.09,10.00,50.00,0.28,49.00,49.00,0.27,181.00,10.60
2,16301,Justin Tucker,BAL,K,17,32.00,20.00,60.00,0.38,11.00,44.00,0.28,1.00,5.00,0.03,51.00,51.00,0.32,160.00,9.40
2,20769,Cairo Santos,CHI,K,17,35.00,20.00,60.00,0.38,8.00,32.00,0.20,7.00,35.00,0.22,31.00,31.00,0.20,158.00,9.30
4,14688,Jason Myers,SEA,K,17,35.00,19.00,57.00,0.36,12.00,48.00,0.30,4.00,20.00,0.13,33.00,33.00,0.21,158.00,9.30
4,19041,Matt Gay,IND,K,17,33.00,18.00,54.00,0.34,7.00,28.00,0.18,8.00,40.00,0.25,35.00,35.00,0.22,157.00,9.20
6,19073,Jake Elliott,PHI,K,17,30.00,16.00,48.00,0.31,7.00,28.00,0.18,7.00,35.00,0.22,45.00,45.00,0.29,156.00,9.20
7,17215,Harrison Butker,KC,K,17,33.00,21.00,63.00,0.41,7.00,28.00,0.18,5.00,25.00,0.16,38.00,38.00,0.25,154.00,9.10
8,24506,Cameron Dicker,LAC,K,17,31.00,15.00,45.00,0.30,9.00,36.00,0.24,7.00,35.00,0.23,35.00,35.00,0.23,151.00,8.90
8,23567,Blake Grupe,NO,K,17,30.00,16.00,48.00,0.32,8.00,32.00,0.21,6.00,30.00,0.20,40.00,40.00,0.27,150.00,8.80
10,20033,Dustin Hopkins,CLE,K,17,33.00,15.00,45.00,0.30,10.00,40.00,0.27,8.00,40.00,0.27,24.00,24.00,0.16,149.00,9.90
11,14867,Brandon McManus,WAS,K,15,30.00,14.00,42.00,0.29,11.00,44.00,0.30,5.00,25.00,0.17,35.00,35.00,0.24,146.00,8.60
12,14996,Jason Sanders,MIA,K,17,24.00,13.00,39.00,0.27,6.00,24.00,0.16,5.00,25.00,0.17,58.00,58.00,0.40,146.00,8.60
13,21542,Greg Zuerlein,NYJ,K,17,35.00,17.00,51.00,0.36,13.00,52.00,0.36,5.00,25.00,0.17,15.00,15.00,0.10,143.00,8.90
14,22908,Evan McPherson,CIN,K,17,26.00,11.00,33.00,0.24,8.00,32.00,0.23,7.00,35.00,0.25,40.00,40.00,0.29,140.00,8.20
15,14697,Younghoe Koo,ATL,K,16,32.00,20.00,60.00,0.43,9.00,36.00,0.26,3.00,15.00,0.11,27.00,27.00,0.20,138.00,8.10
16,19565,Chase McLaughlin,TB,K,17,29.00,20.00,60.00,0.44,2.00,8.00,0.06,7.00,35.00,0.26,33.00,33.00,0.24,136.00,8.00
16,22108,Chris Boswell,PIT,K,17,29.00,16.00,48.00,0.36,7.00,28.00,0.21,6.00,30.00,0.23,27.00,27.00,0.20,133.00,7.80
18,24423,Tyler Bass,BUF,K,17,24.00,16.00,48.00,0.36,4.00,16.00,0.12,4.00,20.00,0.15,49.00,49.00,0.37,133.00,7.80
19,16191,Jake Moody,SF,K,17,21.00,15.00,45.00,0.34,4.00,16.00,0.12,2.00,10.00,0.08,60.00,60.00,0.46,131.00,7.70
20,18478,Nick Folk,TEN,K,17,29.00,18.00,54.00,0.41,6.00,24.00,0.18,5.00,25.00,0.19,28.00,28.00,0.21,131.00,7.70
20,11694,Matt Prater,ARI,K,17,28.00,13.00,39.00,0.30,6.00,24.00,0.18,9.00,45.00,0.35,22.00,22.00,0.17,130.00,7.60
22,549,Wil Lutz,DEN,K,17,30.00,23.00,69.00,0.53,4.00,16.00,0.12,3.00,15.00,0.12,29.00,29.00,0.22,129.00,7.60
23,24371,Anders Carlson,GB,K,17,27.00,20.00,60.00,0.48,4.00,16.00,0.13,3.00,15.00,0.12,34.00,34.00,0.27,125.00,7.40
24,20325,Daniel Carlson,LV,K,17,26.00,16.00,48.00,0.40,9.00,36.00,0.30,1.00,5.00,0.04,32.00,32.00,0.26,121.00,7.10
25,18215,Greg Joseph,GB,K,12,24.00,17.00,51.00,0.43,3.00,12.00,0.10,4.00,20.00,0.17,36.00,36.00,0.30,119.00,7.00
25,19989,Ka'imi Fairbairn,HOU,K,17,27.00,20.00,60.00,0.53,2.00,8.00,0.07,5.00,25.00,0.22,21.00,21.00,0.18,114.00,9.50
27,20149,Eddy Pineiro,CAR,K,15,25.00,13.00,39.00,0.36,7.00,28.00,0.26,5.00,25.00,0.23,17.00,17.00,0.16,109.00,7.30
28,21519,Joey Slye,JAC,K,17,19.00,9.00,27.00,0.26,7.00,28.00,0.27,3.00,15.00,0.15,32.00,32.00,0.31,102.00,6.00
29,22863,Riley Patterson,JAC,K,15,16.00,13.00,39.00,0.42,2.00,8.00,0.09,1.00,5.00,0.05,41.00,41.00,0.44,93.00,6.20
30,24436,Chad Ryland,NE,K,17,16.00,9.00,27.00,0.33,5.00,20.00,0.25,2.00,10.00,0.12,24.00,24.00,0.30,81.00,4.80
31,15854,Brett Maher,LAR,K,8,17.00,7.00,21.00,0.27,7.00,28.00,0.36,3.00,15.00,0.19,13.00,13.00,0.17,77.00,9.60
32,24079,Lucas Havrisik,CLE,K,9,15.00,11.00,33.00,0.47,2.00,8.00,0.11,2.00,10.00,0.14,19.00,19.00,0.27,70.00,7.80
33,10333,Graham Gano,NYG,K,8,11.00,5.00,15.00,0.30,3.00,12.00,0.24,3.00,15.00,0.30,8.00,8.00,0.16,50.00,6.30
34,22703,Matt Ammendola,FA,K,5,6.00,5.00,15.00,0.52,1.00,4.00,0.14,0.00,0.00,0.00,10.00,10.00,0.34,29.00,5.80
35,13961,Randy Bullock,NYG,K,6,5.00,2.00,6.00,0.21,2.00,8.00,0.28,1.00,5.00,0.17,10.00,10.00,0.34,29.00,4.80
36,20144,Michael Badgley,DET,K,4,4.00,3.00,9.00,0.35,1.00,4.00,0.15,0.00,0.00,0.00,13.00,13.00,0.50,26.00,6.50
37,1694,Mason Crosby,NYG,K,3,5.00,4.00,12.00,0.52,0.00,0.00,0.00,1.00,5.00,0.22,6.00,6.00,0.26,23.00,7.70
38,21114,Austin Seibert,NYJ,K,1,1.00,1.00,3.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.25,4.00,4.00
39,21203,Matthew Wright,PIT,K,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,99999,League Average (8+ Games Played),NFL,K,16,26.91,15.70,47.09,0.37,6.48,25.94,0.20,4.73,23.64,0.18,32.76,32.76,0.25,129.42,8.16
